City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,80.6,74,75,8.05,broken clouds
1,Sorong,ID,-0.88,131.25,85.08,62,88,5.21,overcast clouds
2,Rikitea,PF,-23.12,-134.97,75.87,65,76,5.14,broken clouds
3,Sherlovaya Gora,RU,50.57,116.25,4.48,91,0,7.58,clear sky
4,New Norfolk,AU,-42.78,147.06,64.99,50,0,5.99,clear sky
5,Arraial Do Cabo,BR,-22.97,-42.03,75.16,88,90,6.82,overcast clouds
6,Bathsheba,BB,13.22,-59.52,78.8,78,20,11.41,few clouds
7,Svetlyy,RU,54.67,20.13,23.0,92,2,4.47,clear sky
8,Anadyr,RU,64.75,177.48,-18.4,82,75,4.47,fog
9,Cap-Aux-Meules,CA,47.38,-61.86,50.0,87,100,19.46,overcast clouds
10,Hobart,AU,-42.88,147.33,64.99,39,40,25.28,scattered clouds
11,Beatrice,US,40.27,-96.75,34.0,74,1,3.36,clear sky
12,Mahebourg,MU,-20.41,57.7,77.0,94,40,8.05,shower rain
13,Mataura,NZ,-46.19,168.86,64.0,52,76,15.01,broken clouds
14,Atuona,PF,-9.8,-139.03,78.31,78,1,14.9,clear sky
15,Barrow,US,71.29,-156.79,6.8,77,90,18.34,mist
16,Saint George,US,37.1,-113.58,48.2,23,1,17.22,clear sky
17,Busselton,AU,-33.65,115.33,71.01,48,0,5.21,clear sky
18,Luderitz,NA,-26.65,15.16,66.2,52,0,19.46,clear sky
19,Ushuaia,AR,-54.8,-68.3,37.4,92,75,4.7,light intensity drizzle
20,Kashan,IR,33.98,51.44,48.65,70,24,0.74,few clouds
21,Bluff,NZ,-46.6,168.33,64.0,52,100,15.01,overcast clouds
22,Port Alfred,ZA,-33.59,26.89,59.05,72,71,16.28,broken clouds
23,Cape Town,ZA,-33.93,18.42,60.01,62,20,13.87,few clouds
24,Qitaihe,CN,45.8,130.85,16.0,88,0,4.76,clear sky
25,Saint John,CA,45.27,-66.07,57.99,100,90,19.46,moderate rain
26,Kalmunai,LK,7.42,81.82,75.38,91,100,19.66,moderate rain
27,Narsaq,GL,60.92,-46.05,12.2,51,3,8.05,clear sky
28,Maues,BR,-3.38,-57.72,76.71,84,11,3.02,few clouds
29,Bethel,US,41.37,-73.41,37.99,59,90,13.87,overcast clouds
30,Dikson,RU,73.51,80.55,29.12,99,100,28.39,snow
31,Ribeira Grande,PT,38.52,-28.7,62.4,78,100,34.29,light rain
32,Palmer,US,42.16,-72.33,42.8,52,75,9.17,broken clouds
33,Punta Arenas,CL,-53.15,-70.92,39.2,80,75,26.4,light rain
34,Saldanha,ZA,-33.01,17.94,55.4,71,0,8.05,clear sky
35,Trairi,BR,-3.28,-39.27,79.75,79,6,11.16,clear sky
36,Ostrovnoy,RU,68.05,39.51,27.9,95,76,6.49,broken clouds
37,Parana,AR,-31.73,-60.52,75.99,79,1,1.01,clear sky
38,Kodiak,US,57.79,-152.41,37.4,93,90,13.87,light rain
39,Kayes,ML,14.0,-11.0,74.17,26,24,2.08,few clouds
40,Lagoa,PT,39.05,-27.98,61.97,80,99,34.2,light rain
41,Aksarayskiy,RU,46.79,48.01,19.4,85,75,13.42,broken clouds
42,Qaanaaq,GL,77.48,-69.36,-0.42,88,100,9.22,overcast clouds
43,Trelew,AR,-43.25,-65.31,68.5,27,100,17.78,overcast clouds
44,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,74.21,80,15,4.47,few clouds
