City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,75.87,broken clouds,-23.12,-134.97,Pension Maro'i
4,New Norfolk,AU,64.99,clear sky,-42.78,147.06,The Shingles Riverside Cottages
5,Arraial Do Cabo,BR,75.16,overcast clouds,-22.97,-42.03,Pousada Porto Praia
6,Bathsheba,BB,78.8,few clouds,13.22,-59.52,Atlantis Hotel
9,Cap-Aux-Meules,CA,50.0,overcast clouds,47.38,-61.86,Auberge Madeli
10,Hobart,AU,64.99,scattered clouds,-42.88,147.33,St Ives Hobart Accommodation Tasmania
12,Mahebourg,MU,77.0,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
13,Mataura,NZ,64.0,broken clouds,-46.19,168.86,Ellie's Villa
14,Atuona,PF,78.31,clear sky,-9.8,-139.03,Villa Enata
17,Busselton,AU,71.01,clear sky,-33.65,115.33,Observatory Guest House
21,Bluff,NZ,64.0,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
22,Port Alfred,ZA,59.05,broken clouds,-33.59,26.89,The Halyards Hotel
23,Cape Town,ZA,60.01,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
25,Saint John,CA,57.99,moderate rain,45.27,-66.07,Delta Hotels by Marriott Saint John
26,Kalmunai,LK,75.38,moderate rain,7.42,81.82,VS Villa
28,Maues,BR,76.71,few clouds,-3.38,-57.72,Hotel Miramar
31,Ribeira Grande,PT,62.4,light rain,38.52,-28.7,Quinta da Meia Eira
34,Saldanha,ZA,55.4,clear sky,-33.01,17.94,Blue Bay Lodge
35,Trairi,BR,79.75,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
37,Parana,AR,75.99,clear sky,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
39,Kayes,ML,74.17,few clouds,14.0,-11.0,
40,Lagoa,PT,61.97,light rain,39.05,-27.98,Casa Das Faias
43,Trelew,AR,68.5,overcast clouds,-43.25,-65.31,Hotel Touring Club
44,Presidencia Roque Saenz Pena,AR,74.21,few clouds,-26.79,-60.44,Hotel Aconcagua
45,Bredasdorp,ZA,53.6,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
46,Inhambane,MZ,73.78,light rain,-23.86,35.38,Oceano
48,East London,ZA,57.2,light rain,-33.02,27.91,Tu Casa
49,Cabo San Lucas,MX,71.6,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
53,Tessalit,ML,69.71,scattered clouds,20.2,1.01,
54,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
55,Lebu,CL,52.0,clear sky,-37.62,-73.65,Hostal Las Lilas
57,Bambous Virieux,MU,79.0,shower rain,-20.34,57.76,Casa Tia Villa
59,Souillac,MU,77.0,shower rain,-20.52,57.52,Bils' Villa
60,Antofagasta,CL,62.6,overcast clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
63,Cockburn Town,TC,78.93,scattered clouds,21.46,-71.14,Osprey Beach Hotel
64,Sitka,US,53.6,heavy intensity rain,57.05,-135.33,Westmark Sitka
65,Constitucion,CL,51.91,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
66,Vao,NC,74.28,few clouds,-22.67,167.48,Hotel Kou-Bugny
72,Dubbo,AU,77.0,overcast clouds,-32.25,148.62,Comfort Inn Blue Lagoon
73,Puerto Ayora,EC,71.01,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
76,Eravur,LK,74.86,heavy intensity rain,7.77,81.61,Farhan KING House
80,Ancud,CL,53.01,light rain,-41.87,-73.82,Hotel Arena Gruesa
83,Palmeirais,BR,76.41,clear sky,-5.98,-43.06,Pousada LS
84,Lompoc,US,51.8,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
85,Port Elizabeth,ZA,59.0,broken clouds,-33.92,25.57,39 On Nile Guest House
86,Kon Tum,VN,77.45,few clouds,14.35,108.0,Hoa đà spa- homestay
87,Castro,BR,62.89,broken clouds,-24.79,-50.01,CHACARA BAILLY
90,Kruisfontein,ZA,55.99,light rain,-34.0,24.73,Oyster Bay House Rental
94,Hilo,US,77.0,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
95,Anori,BR,76.08,clear sky,-3.77,-61.64,Novo Hotel 05 Irmaos
97,Kaitangata,NZ,64.99,broken clouds,-46.28,169.85,Kaitangata Motor Camp
98,Touros,BR,78.8,few clouds,-5.2,-35.46,INN NEW HORIZON
105,Ciudad Bolivar,VE,77.67,overcast clouds,8.12,-63.55,Hotel Edi
107,Punta Alta,AR,78.57,overcast clouds,-38.88,-62.07,Center Hotel Punta Alta
108,Ginir,ET,54.95,scattered clouds,7.13,40.7,Sura Dare Village
109,Taitung,TW,77.0,broken clouds,22.76,121.14,Taitung Bali Suites Hotel
110,Guerrero Negro,MX,62.76,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
111,Rafai,CF,68.29,clear sky,4.95,23.92,
114,Caravelas,BR,75.85,few clouds,-17.71,-39.25,Pousada dos Navegantes
115,Aswan,EG,54.21,clear sky,24.09,32.91,Nuba Nile
117,Mwene-Ditu,CD,64.89,overcast clouds,-7.0,23.45,Hôtel Kamas
128,Makueni,KE,62.83,overcast clouds,-1.8,37.62,PERMA HOTEL
133,Shimoni,KE,78.98,light rain,-4.65,39.38,Shimoni Reef Lodge
134,La Plata,AR,71.01,clear sky,-34.92,-57.95,Hotel Corregidor
135,Mar Del Plata,AR,64.0,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
136,Carnarvon,AU,77.0,clear sky,-24.87,113.63,Hospitality Carnarvon
137,Taoudenni,ML,72.81,overcast clouds,22.68,-3.98,
138,Pio Ix,BR,79.07,overcast clouds,-6.84,-40.58,Hotel Central
139,Imbituba,BR,69.8,broken clouds,-28.24,-48.67,Praia Hotel Imbituba
141,Sao Joao Da Barra,BR,74.95,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
143,Hermanus,ZA,57.0,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
144,Santa Isabel Do Rio Negro,BR,73.47,overcast clouds,-0.41,-65.02,Hotel GSA
146,Hasaki,JP,50.0,light rain,35.73,140.83,Inubosaki Kanko Hotel
148,Sandy Bay,AU,64.99,scattered clouds,-42.91,147.35,St Ives Hobart Accommodation Tasmania
151,Bandarbeyla,SO,76.15,light rain,9.49,50.81,JABIR HOTEL
153,Chiredzi,ZW,75.52,scattered clouds,-21.05,31.67,The Nesbitt Arms
155,Adrar,MR,76.14,overcast clouds,20.5,-10.07,
157,Nalut,LY,52.16,clear sky,30.33,10.85,
159,Half Moon Bay,US,54.0,clear sky,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
160,Pendencias,BR,76.68,scattered clouds,-5.26,-36.72,Cabanas Pousada
162,Katsuura,JP,50.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
171,Ahipara,NZ,68.95,broken clouds,-35.17,173.17,Ahipara Holiday Park
172,Praia Da Vitoria,PT,60.8,light rain,38.73,-27.07,Hotel Branco I
174,Kembe,CF,68.14,clear sky,4.62,21.89,
179,Pergamino,AR,71.01,clear sky,-33.89,-60.57,Hotel Fachinat
183,Quatre Cocos,MU,79.0,shower rain,-20.21,57.76,Emeraude Beach Attitude Hotel
184,Colac,AU,59.0,clear sky,-38.33,143.58,Otway Gate Motel
185,Maxixe,MZ,73.11,light rain,-23.86,35.35,Oceano
186,Izumo,JP,57.2,few clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
188,San Patricio,US,61.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
190,Victoria,HK,70.0,clear sky,22.29,114.16,Mini Hotel Central
191,Ratnagiri,IN,79.41,overcast clouds,16.98,73.3,Hotel Landmark
193,Galveston,US,64.99,broken clouds,29.37,-94.97,Comfort Inn & Suites Texas City
194,Amapa,BR,71.62,clear sky,1.0,-52.0,
196,Quang Ngai,VN,76.03,light rain,15.12,108.8,Central Hotel
198,Yulara,AU,77.0,overcast clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
199,Lubango,AO,60.15,overcast clouds,-14.92,13.49,Hotel Serra da Chela
200,Salvador,SV,78.8,few clouds,13.83,-88.92,Chico's Ranch
201,Kiama,AU,70.0,overcast clouds,-34.68,150.87,The Sebel Kiama Harbourside
202,Doha,QA,73.4,few clouds,25.29,51.53,Doha Marriott Hotel
203,Ewo,CG,72.81,overcast clouds,-0.87,14.82,Residence Elonda Ewo
204,Laguna,US,51.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
206,Dolores,AR,60.44,light rain,-36.31,-57.68,Apart Hotel - Arianos
207,Esperance,AU,73.4,broken clouds,-33.87,121.9,Hospitality Esperance
211,Thatta,PK,72.77,clear sky,24.75,67.92,We Care Guest House
212,Mount Gambier,AU,62.6,overcast clouds,-37.83,140.77,Commodore on the Park
