City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuktoyaktuk,CA,2020-12-01 03:21:09,69.45,-133.04,-0.4,84,90,9.17
1,Abancay,PE,2020-12-01 03:21:09,-13.63,-72.88,60.6,69,100,4.41
2,Xining,CN,2020-12-01 03:21:09,36.62,101.77,25.81,88,87,3.87
3,Bluff,NZ,2020-12-01 03:21:09,-46.6,168.33,62.01,48,33,4.0
4,Ushuaia,AR,2020-12-01 03:21:09,-54.8,-68.3,44.6,75,75,17.22
5,Jam Sahib,PK,2020-12-01 03:21:09,26.3,68.63,51.8,87,0,4.7
6,Kutum,SD,2020-12-01 03:21:10,14.2,24.67,55.51,35,0,3.85
7,Verkhoyansk,RU,2020-12-01 03:21:10,67.54,133.38,-9.18,86,95,4.12
8,Rikitea,PF,2020-12-01 03:21:10,-23.12,-134.97,75.96,74,19,9.33
9,General Pico,AR,2020-12-01 03:21:10,-35.66,-63.76,59.94,33,0,7.61
10,Mataura,NZ,2020-12-01 03:21:10,-46.19,168.86,62.01,48,33,4.0
11,Saint-Philippe,RE,2020-12-01 03:21:10,-21.36,55.77,78.8,65,0,4.7
12,Castro,BR,2020-12-01 03:21:10,-24.79,-50.01,61.56,95,44,3.51
13,Khatanga,RU,2020-12-01 03:21:10,71.97,102.5,23.18,96,97,13.42
14,Rawson,AR,2020-12-01 03:21:11,-43.3,-65.1,68.14,28,0,5.37
15,Puerto Ayora,EC,2020-12-01 03:21:11,-0.74,-90.35,71.01,95,94,3.0
16,Pochutla,MX,2020-12-01 03:21:11,15.74,-96.47,78.8,74,40,4.7
17,Fort Myers Beach,US,2020-12-01 03:21:12,26.45,-81.95,69.01,68,40,12.75
18,Hilo,US,2020-12-01 03:21:12,19.73,-155.09,80.6,54,1,8.05
19,Dikson,RU,2020-12-01 03:21:12,73.51,80.55,25.7,98,100,12.48
20,Yellowknife,CA,2020-12-01 03:20:49,62.46,-114.35,19.4,92,90,10.29
21,Adamas,GR,2020-12-01 03:21:12,36.73,24.43,59.0,87,16,5.82
22,Alma,CA,2020-12-01 03:18:22,48.55,-71.65,37.4,100,100,12.75
23,Saldanha,ZA,2020-12-01 03:21:12,-33.01,17.94,59.0,72,81,1.12
24,Fortuna,US,2020-12-01 03:21:13,40.6,-124.16,51.01,94,46,1.01
25,Port Elizabeth,ZA,2020-12-01 03:21:13,-33.92,25.57,59.0,93,90,13.87
26,Hobart,AU,2020-12-01 03:20:21,-42.88,147.33,78.8,36,75,24.16
27,Albany,US,2020-12-01 03:21:13,42.6,-73.97,55.99,100,90,7.11
28,Acarau,BR,2020-12-01 03:21:13,-2.89,-40.12,79.25,81,100,14.05
29,Wattegama,LK,2020-12-01 03:21:13,6.8,81.48,78.8,100,75,3.36
30,Cape Town,ZA,2020-12-01 03:21:13,-33.93,18.42,60.8,63,75,3.36
31,Zyryanka,RU,2020-12-01 03:21:13,65.75,150.85,-14.71,84,0,8.39
32,Vaini,TO,2020-12-01 03:21:14,-21.2,-175.2,82.4,69,20,8.05
33,Saskylakh,RU,2020-12-01 03:21:14,71.92,114.08,22.28,95,97,18.01
34,Te Anau,NZ,2020-12-01 03:21:14,-45.42,167.72,64.63,33,100,0.47
35,Rancho Palos Verdes,US,2020-12-01 03:21:14,33.74,-118.39,63.0,29,5,8.05
36,Kaitangata,NZ,2020-12-01 03:21:14,-46.28,169.85,57.99,58,0,5.99
37,Punta Arenas,CL,2020-12-01 03:18:41,-53.15,-70.92,46.4,81,90,14.99
38,Grand-Santi,GF,2020-12-01 03:21:14,4.25,-54.38,73.38,93,100,2.28
39,Awbari,LY,2020-12-01 03:21:14,26.59,12.78,47.44,56,0,3.85
40,Cayenne,GF,2020-12-01 03:21:15,4.93,-52.33,75.2,100,100,2.24
41,Manokwari,ID,2020-12-01 03:21:15,-0.87,134.08,82.58,77,100,0.34
